0,1,2,3
N,Norte,02/08/2001,225.241.666.667
N,Norte,03/08/2001,225.938.333.333
N,Norte,04/08/2001,216.144.583.333
N,Norte,05/08/2001,209.914.166.667
N,Norte,06/08/2001,215.835.416.667
N,Norte,07/08/2001,227.025.500.000
N,Norte,08/08/2001,226.590.916.667
N,Norte,09/08/2001,223.934.166.667
N,Norte,10/08/2001,223.753.750.000
N,Norte,11/08/2001,214.735.833.333
N,Norte,12/08/2001,205.445.000.000
N,Norte,13/08/2001,219.033.333.333
N,Norte,14/08/2001,218.704.166.667
N,Norte,15/08/2001,211.627.916.667
N,Norte,16/08/2001,216.856.250.000
N,Norte,17/08/2001,213.631.250.000
N,Norte,18/08/2001,207.374.166.667
N,Norte,19/08/2001,199.223.750.000
N,Norte,20/08/2001,215.533.750.000
N,Norte,21/08/2001,214.325.833.333
N,Norte,22/08/2001,213.075.000.000
N,Norte,23/08/2001,213.346.250.000
N,Norte,24/08/2001,214.432.083.333
N,Norte,25/08/2001,205.141.666.667
N,Norte,26/08/2001,196.080.416.667
N,Norte,27/08/2001,211.915.416.667
N,Norte,28/08/2001,215.231.250.000
N,Norte,29/08/2001,214.510.000.000
N,Norte,30/08/2001,213.574.583.333
N,Norte,31/08/2001,211.485.833.333
N,Norte,01/09/2001,204.459.583.333
N,Norte,02/09/2001,196.073.333.333
N,Norte,03/09/2001,213.179.666.667
N,Norte,04/09/2001,212.547.500.000
N,Norte,05/09/2001,210.967.500.000
N,Norte,06/09/2001,209.479.166.667
N,Norte,07/09/2001,196.897.083.333
N,Norte,08/09/2001,198.078.333.333
N,Norte,09/09/2001,193.320.833.333
N,Norte,10/09/2001,211.174.583.333
N,Norte,11/09/2001,212.755.000.000
N,Norte,12/09/2001,212.114.583.333
N,Norte,13/09/2001,209.608.333.333
N,Norte,14/09/2001,206.369.166.667
N,Norte,15/09/2001,200.998.750.000
N,Norte,16/09/2001,193.682.083.333
N,Norte,17/09/2001,209.951.250.000
N,Norte,18/09/2001,209.964.166.667
N,Norte,19/09/2001,210.671.250.000
N,Norte,20/09/2001,212.271.250.000
N,Norte,21/09/2001,211.947.916.667
N,Norte,22/09/2001,201.444.583.333
N,Norte,23/09/2001,194.382.916.667
N,Norte,24/09/2001,211.097.916.667
N,Norte,25/09/2001,211.468.750.000
N,Norte,26/09/2001,212.840.000.000
N,Norte,27/09/2001,214.341.666.667
N,Norte,28/09/2001,214.107.500.000
N,Norte,29/09/2001,205.386.666.667
N,Norte,30/09/2001,194.626.250.000
N,Norte,01/10/2001,212.642.916.667
N,Norte,02/10/2001,212.391.666.667
N,Norte,03/10/2001,212.932.500.000
N,Norte,04/10/2001,212.984.583.333
N,Norte,05/10/2001,213.171.666.667
N,Norte,06/10/2001,201.954.166.667
N,Norte,07/10/2001,197.000.833.333
N,Norte,08/10/2001,213.167.916.667
N,Norte,09/10/2001,214.999.166.667
N,Norte,10/10/2001,214.891.250.000
N,Norte,11/10/2001,214.437.916.667
N,Norte,12/10/2001,203.757.500.000
N,Norte,13/10/2001,203.935.000.000
N,Norte,14/10/2001,186.900.833.333
N,Norte,15/10/2001,208.057.500.000
N,Norte,16/10/2001,210.591.666.667
N,Norte,17/10/2001,212.125.833.333
N,Norte,18/10/2001,214.619.166.667
N,Norte,19/10/2001,214.615.000.000
N,Norte,20/10/2001,206.107.916.667
N,Norte,21/10/2001,197.312.208.333
N,Norte,22/10/2001,212.734.583.333
N,Norte,23/10/2001,216.432.500.000
N,Norte,24/10/2001,216.487.916.667
N,Norte,25/10/2001,212.897.500.000
